"Designator","Comment","Layer","Footprint","Mid-X","Mid-Y","Rotation","Description"
"J3","TC2030-IDC-NL","Top","TAG_TC2030-IDC-NL","110.7800","83.4150","180","CABLE ADAPTER 6 POS"
"C4","CAP_0603","Top","CAPC2012X145N","114.5000","65.2000","270","C0805C226M8PAC7800
22µF ±20% 16V Ceramic Capacitor X5R 0805 _2012 Metric_"
"C17","CAP_0603","Top","CAPC1608X90N","101.5000","71.4000","0","C0603C225K4PACTU
2.2µF ±10% 16V Ceramic Capacitor X5R 0603 _1608 Metric_"
"C14","CAP_0402","Top","CAPC1005X55N","104.1570","71.2500","0","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C3","CAP_0805_16V","Top","CAPC2012X145N","109.0000","70.7000","180","C0805C226M8PAC7800
22µF ±20% 16V Ceramic Capacitor X5R 0805 _2012 Metric_"
"J2","1722872105","Top","JST_SM06B-SRSS-TB(LF)(SN)","97.3000","63.5625","0","Connector Header Surface Mount, Right Angle 6 position 0.039" (1.00mm)"
"Y1","ABM3B-25.000MHZ-10-1-U-T","Top","OSC_ABM3B-25.000MHZ-10-1-U-T","88.7000","70.6000","90","25 MHz ±10ppm Crystal 10pF 50 Ohms 4-SMD, No Lead"
"C13","CAP_0402","Top","CAPC1005X55N","95.5000","75.0000","270","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"D1","HSMS-C190","Top","LEDM1608X80","117.2000","65.0000","270","Red 626nm LED Indication - Discrete 2.1V 0603 _1608 Metric_"
"C11","CAP_0603","Top","CAPC1608X90N","93.9000","78.8000","90","C0603C225K4PACTU
2.2µF ±10% 16V Ceramic Capacitor X5R 0603 _1608 Metric_"
"C2","CAP_0603","Top","CAPC1608X90N","113.7500","72.7500","90","C0603C225K4PACTU
2.2µF ±10% 16V Ceramic Capacitor X5R 0603 _1608 Metric_"
"C1","CAP_0603","Top","CAPC1608X90N","115.2500","72.7500","90","C0603C225K4PACTU
2.2µF ±10% 16V Ceramic Capacitor X5R 0603 _1608 Metric_"
"U2","MPU-6050","Top","IC_MPU6050","87.3500","83.9500","270","Is the world’s first integrated 6-axis MotionTracking device that combines a 3-axis gyroscope, 3-axis accelerometer, and a Digital Motion Processor™ (DMP) all in a small 4x4x0.9mm Package."
"U3","STM32F411CEU6","Top","QFN50P700X700X60-49N","100.5000","76.5000","0","ARM® Cortex®-M4 STM32F4 Microcontroller IC 32-Bit 100MHz 512KB (512K x 8) FLASH 48-UFQFPN (7x7)"
"U1","AMS1117","Top","SOT229P700X180-4N","109.2000","65.2000","270","Sot223/Pkg 1-Amp 5-Volt Low Drop Out Voltage Regulatator"
"R7","RES_0402","Top","RESC1005X37N","106.5680","72.7500","180","AC0402 10K 5% 0,063W AUTOMO"
"R6","RES_0402","Top","RESC1005X37N","99.7500","83.5000","270","AC0402 10K 5% 0,063W AUTOMO"
"R5","RES_0402","Top","RESC1005X37N","90.5000","75.7500","180","AC0402 10K 5% 0,063W AUTOMO"
"R4","RES_0402","Top","RESC1005X37N","111.2000","86.5000","0","AC0402 10K 5% 0,063W AUTOMO"
"R3","RES_0402","Top","RESC1005X37N","100.0000","85.9500","180","AC0402 10K 5% 0,063W AUTOMO"
"R2","RES_0402","Top","RESC1005X37N","102.1000","85.9500","0","AC0402 10K 5% 0,063W AUTOMO"
"R1","RES_0402","Top","RESC1005X37N","117.2000","67.6000","270","AC0402 10K 5% 0,063W AUTOMO"
"J1","47346-0001","Top","MOLEX_47346-0001","119.1550","77.7250","90","USB Connectors MICRO USB B RECPT BTTM MOUNT ASSY"
"FB1","120R","Top","BEADC1608X75N","114.5000","75.5000","180","1 kOhms @ 100MHz 1 Güç Hattı Ferrit Boncuk 0603 (1608 Metrik) 800mA 230mOhm"
"D2","HSMS-C190_1","Top","LEDM1608X80","106.2500","74.2500","180","Red 626nm LED Indication - Discrete 2.1V 0603 _1608 Metric_"
"C18","CAP_0402","Top","CAPC1005X55N","108.7500","86.5000","0","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C16","CAP_0402","Top","CAPC1005X55N","98.0000","81.5000","180","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C15","CAP_0402","Top","CAPC1005X55N","105.5000","79.5000","90","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C12","CAP_0402","Top","CAPC1005X55N","95.5000","78.8430","90","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C10","CAP_0402_16V","Top","CAPC1005X55N","90.5000","74.2500","180","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C9","CAP_0402_16V","Top","CAPC1005X55N","86.7500","74.2500","0","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C8","CAP_0402","Top","CAPC1005X55N","83.7500","85.2500","270","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C7","CAP_0402","Top","CAPC1005X55N","83.7500","83.2500","270","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C6","CAP_0402","Top","CAPC1005X55N","90.7000","82.8500","270","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C5","CAP_0402","Top","CAPC1005X55N","86.5320","80.5000","180","C0402C104K4RAC7411_KEMET
0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
